hand/hand/000001.jpg 112,130,368,507,0 124,294,294,506,1 254,163,288,209,2 200,136,235,185,3 151,165,184,214,4 112,225,144,270,5
hand/hand/000002.jpg 91,212,324,513,0 96,317,251,512,1 224,250,257,285,2 170,223,198,263,3 127,230,155,269,4 91,267,116,315,5
hand/hand/000003.jpg 103,214,358,532,0 112,327,281,532,1 250,254,285,293,2 219,225,252,262,3 176,234,209,273,4 103,271,132,310,5
hand/hand/000006.jpg 103,214,356,532,0 111,332,280,532,1 249,255,283,295,2 219,225,252,262,3 176,234,209,273,4 103,271,132,310,5
hand/hand/000007.jpg 104,87,388,472,0 117,259,299,472,1 253,125,288,177,2 203,91,241,148,3 155,111,195,172,4 104,177,142,236,5
hand/hand/000011.jpg 73,3,398,480,0 96,214,332,480,1 247,53,293,107,2 191,3,243,71,3 137,13,189,89,4 73,86,127,168,5
hand/hand/000012.jpg 46,215,292,512,0 64,319,221,512,1 178,248,206,307,2 138,226,164,272,3 99,231,128,297,4 46,266,87,317,5
hand/hand/000013.jpg 79,74,387,476,0 79,245,270,476,1 237,111,273,156,2 197,77,238,132,3 148,100,187,154,4 84,158,116,205,5
hand/hand/000014.jpg 103,214,358,532,0 112,327,282,532,1 250,254,285,293,2 219,225,252,261,3 175,234,209,273,4 103,271,132,310,5
hand/hand/000015.jpg 51,46,372,451,0 57,209,265,451,1 232,81,272,128,2 161,48,202,99,3 104,64,147,122,4 51,119,90,169,5
hand/hand/000016.jpg 115,86,362,387,0 121,209,267,387,1 205,105,233,136,2 179,90,207,125,3 151,110,178,146,4 115,167,144,217,5
hand/hand/000020.jpg 50,94,384,494,0 67,254,268,494,1 207,125,251,174,2 161,98,202,147,3 122,120,161,169,4 50,172,89,212,5
hand/hand/000021.jpg 137,215,380,514,0 146,324,310,514,1 274,248,307,284,2 215,226,243,267,3 173,236,199,279,4 137,277,165,315,5
hand/hand/000022.jpg 76,327,380,711,0 91,485,304,711,1 241,368,280,419,2 195,344,232,393,3 150,364,190,411,4 76,422,113,468,5
hand/hand/000023.jpg 86,59,280,390,0 86,198,236,390,1 178,84,211,122,2 149,62,181,108,3 123,80,152,126,4 96,134,127,172,5
hand/hand/000024.jpg 112,130,366,508,0 122,293,293,507,1 254,163,288,209,2 200,136,235,186,3 151,165,184,214,4 112,226,144,271,5
hand/hand/000025.jpg 73,3,399,483,0 96,215,333,483,1 247,54,293,107,2 191,3,244,70,3 137,14,190,90,4 73,87,127,169,5
hand/hand/000027.jpg 91,212,325,517,0 98,318,253,517,1 225,250,258,285,2 170,223,198,263,3 127,230,155,269,4 91,267,116,315,5
hand/hand/000028.jpg 0,7,399,536,0 7,239,282,536,1 206,36,258,116,2 120,7,172,88,3 64,38,114,120,4 0,123,46,193,5
hand/hand/000029.jpg 67,19,333,506,0 67,237,276,506,1 224,51,270,108,2 183,20,227,79,3 137,57,185,117,4 75,138,125,201,5
hand/hand/000030.jpg 76,0,384,400,0 76,155,296,400,1 223,0,268,59,2 179,0,223,42,3 137,0,178,65,4 86,67,124,126,5
hand/hand/000032.jpg 46,79,351,479,0 63,224,277,479,1 235,114,273,157,2 176,83,216,129,3 105,105,145,154,4 46,160,86,206,5
hand/hand/000034.jpg 51,46,372,451,0 56,210,265,451,1 232,81,272,128,2 161,48,202,99,3 104,64,147,122,4 51,119,90,169,5
hand/hand/000035.jpg 85,207,344,499,0 100,312,270,499,1 225,233,255,270,2 148,217,182,255,3 119,227,148,266,4 85,270,116,307,5
hand/hand/000036.jpg 42,0,363,399,0 42,160,303,399,1 197,3,248,47,2 147,0,196,32,3 104,15,152,60,4 67,77,105,126,5
hand/hand/000039.jpg 0,10,399,506,0 18,225,263,506,1 198,49,247,120,2 133,10,184,85,3 69,38,121,115,4 0,127,48,201,5
hand/hand/000041.jpg 73,0,324,399,0 73,131,273,399,1 199,9,239,40,2 159,0,198,26,3 127,9,163,49,4 88,61,128,96,5
hand/hand/000042.jpg 96,33,315,356,0 96,155,272,356,1 210,52,249,84,2 171,34,209,74,3 143,46,174,86,4 115,92,146,124,5
hand/hand/000044.jpg 73,2,399,482,0 96,214,333,482,1 247,53,293,107,2 191,2,243,69,3 137,14,189,89,4 73,86,127,168,5
hand/hand/000046.jpg 163,7,373,504,0 175,185,318,504,1 295,56,329,150,2 266,7,295,67,3 223,21,251,77,4 163,91,190,140,5
